date,all_vac,new_vac,severe
2021/9/28,161057159,1562377,998
2021/9/29,162577384,1520225,932
2021/9/30,163738220,1160836,778
2021/10/1,164859014,1120794,719
2021/10/4,167449378,2590364,655
2021/10/5,168762404,1313026,612
2021/10/6,170282269,1519865,595
2021/10/7,171193251,910982,526
2021/10/8,172127058,933807,501
2021/10/11,174631850,2504792,444
2021/10/12,175700765,1068915,413
2021/10/13,176881164,1180399,381
2021/10/14,177622120,740956,357
2021/10/15,178255509,633389,335
2021/10/18,180219121,1963612,294
2021/10/19,180976061,756940,276
2021/10/20,182079899,1103838,260
2021/10/21,182719236,639337,217
2021/10/22,183344047,624811,208
2021/10/25,185079015,1734968,197
2021/10/26,185979201,900186,184
2021/10/27,186742406,763205,177
2021/10/28,187269535,527129,145
2021/10/29,187865740,596205,134
2021/11/1,189319619,1453879,120
2021/11/2,190022071,702452,115
2021/11/4,190595761,573690,103
2021/11/5,191044946,449185,100
2021/11/8,192078918,1033972,99
2021/11/9,192610138,531220,96
2021/11/10,193095269,485131,92
2021/11/11,193413413,318144,87
2021/11/12,193681996,268583,83
2021/11/15,194370766,688770,82
2021/11/16,194828997,458231,78
2021/11/17,195111912,282915,76
2021/11/18,195322820,210908,62
2021/11/19,195490201,167381,62
2021/11/22,196026726,536525,60
2021/11/24,196319563,292837,58
2021/11/25,196440455,120892,51
2021/11/26,196576395,135940,50
2021/11/29,196915615,339220,41
2021/11/30,197101669,186054,43
2021/12/1,197266161,164492,38
2021/12/2,197329920,63759,32
2021/12/3,197423151,93231,28
2021/12/6,197620701,197550,28
2021/12/7,197762698,141997,27
2021/12/8,197878243,115545,26
2021/12/9,197938660,60417,27
2021/12/10,198014376,75716,25
2021/12/13,198171413,157037,27
2021/12/14,198248857,77444,27
2021/12/15,198348812,99955,27
2021/12/16,198419971,71159,26
2021/12/17,198497730,77759,26
2021/12/20,198702092,204362,28
2021/12/21,198810017,107925,26
2021/12/22,198923765,113748,28
2021/12/23,199030483,106718,34
2021/12/24,199120144,89661,37
2021/12/27,199340742,220598,46
2021/12/28,199596362,255620,49
2022/1/4,200869488,1273126,60
2022/1/5,200990656,121168,64
2022/1/6,201082885,92229,91
2022/1/7,201168165,85280,89
2022/1/11,201412837,244672,105
2022/1/12,201558997,146160,125
2022/1/13,201662805,103808,221
2022/1/14,201786647,123842,233
2022/1/17,202119019,332372,261
2022/1/18,202280089,161070,281
2022/1/19,202465017,184928,287
2022/1/20,202658652,193635,404
2022/1/21,202865566,206914,424
2022/1/24,203348494,482928,444
2022/1/25,203642290,293796,470
2022/1/26,203935306,293016,537
2022/1/27,204228909,293603,697
2022/1/28,204528007,299098,734
2022/1/31,205281735,753728,804
2022/2/1,205744165,462430,886
2022/2/2,206186276,442111,911
2022/2/3,206751128,564852,1042
2022/2/4,207319162,568034,1099
2022/2/7,208782536,1463374,1141
2022/2/8,209653907,871371,1212
2022/2/9,210542246,888339,1270
2022/2/10,211401896,859650,1340
2022/2/14,213438155,2036259,1403
2022/2/15,214571982,1133827,1444
2022/2/16,215649628,1077646,1469
2022/2/17,216665733,1016105,1482
2022/2/18,217642958,977225,1480
2022/2/21,219899127,2256169,1504
2022/2/22,221140518,1241391,1489
2022/2/24,222692743,1552225,1503
2022/2/25,223820819,1128076,1507
2022/2/28,226386565,2565746,1456
2022/3/1,227761986,1375421,1452
2022/3/2,229012762,1250776,1418
2022/3/3,230096985,1084223,1419
2022/3/4,231122195,1025210,1399
2022/3/7,233632708,2510513,1348
2022/3/8,234925595,1292887,1321
2022/3/9,236103982,1178387,1322
2022/3/10,237089041,985059,1252
2022/3/11,238050214,961173,1204
2022/3/14,240441450,2391236,1170
2022/3/15,241689774,1248324,1140
2022/3/16,242927963,1238189,1090
2022/3/17,243836391,908428,991
2022/3/18,244711875,875484,983
2022/3/22,247132594,2420719,916
2022/3/23,248489469,1356875,891
2022/3/24,249408158,918689,733
2022/3/25,250187988,779830,707
2022/3/28,252334857,2146869,673
2022/3/29,253413125,1078268,655
2022/3/30,254345587,932462,627
2022/3/31,255078607,733020,533
2022/4/1,255719551,640944,518
2022/4/4,257174024,1454473,508
2022/4/5,257895945,721921,508
2022/4/6,258708855,812910,494
2022/4/7,259218522,509667,484
2022/4/8,259734137,515615,489
2022/4/11,261275956,1541819,467
2022/4/12,261994781,718825,468
2022/4/13,262639273,644492,231
2022/4/14,263124831,485558,230
2022/4/15,263596741,471910,222
2022/4/18,265117925,1521184,213
2022/4/19,265801716,683791,214
2022/4/20,266461584,659868,202
2022/4/21,266889958,428374,207
2022/4/22,267390282,500324,203
2022/4/25,268822890,1432608,200
2022/4/26,269554770,731880,183
2022/4/27,270206587,651817,174
2022/4/28,270695768,489181,173
2022/5/2,272000746,1304978,160
2022/5/6,272738717,737971,165
2022/5/9,273802981,1064264,158
2022/5/10,274249764,446783,163
2022/5/11,274589263,339499,159
2022/5/12,274922998,333735,156
2022/5/13,275201140,278142,153
2022/5/16,276157698,956558,127
2022/5/17,276734893,577195,125
2022/5/18,277046731,311838,110
2022/5/19,277294090,247359,106
2022/5/20,277526349,232259,101
2022/5/23,278300970,774621,100
2022/5/24,278763261,462291,103
2022/5/25,279032756,269495,95
2022/5/26,279218860,186104,90
2022/5/27,279402397,183537,81
